transaction_id,customer_id,amount,transaction_type,merchant_category,transaction_hour,day_of_week,customer_age,gender,city,account_tenure_days,avg_monthly_balance,credit_score,num_previous_disputes,is_new_device,is_foreign_transaction,distance_from_home_km,time_since_last_txn_hrs,daily_transaction_count,failed_txn_last_7days,is_high_risk_merchant,num_cards_linked,login_attempts_today,is_weekend,is_odd_hour,balance_to_amount_ratio,fraud_risk_score
TXN0000001,CUST00861,1854.34,UPI,grocery,6,3,66,Male,Kolkata,2303,30671.72,483,0,1,0,0.5,10.55,4,0,0,4,1,0,0,16.5316,0.1681
TXN0000002,CUST01295,3541.4,ATM,grocery,7,5,67,Male,Mumbai,1388,26273.81,444,0,0,0,10.7,6.57,2,0,0,3,1,1,0,7.417,0.0
TXN0000003,CUST01131,2564.58,NEFT,grocery,21,2,71,Female,Mumbai,1358,2170.13,458,0,0,0,14.2,13.93,1,1,0,4,1,0,0,0.8459,0.0059
TXN0000004,CUST01096,9657.81,IMPS,grocery,21,4,31,Male,Ahmedabad,2593,49492.62,351,0,0,0,5.3,8.17,3,1,0,4,2,0,0,5.1241,0.0319
TXN0000005,CUST01639,2827.45,UPI,electronics,1,1,27,Female,Pune,6,21531.29,434,1,0,0,8.9,22.37,1,0,0,4,1,0,1,7.6124,0.0882
TXN0000006,CUST02170,2439.61,NEFT,dining,9,6,66,Male,Hyderabad,3206,28466.96,676,1,0,0,9.1,30.67,5,0,0,1,1,1,0,11.6639,0.0989
TXN0000007,CUST00467,5853.07,Card,electronics,4,0,28,Female,Ahmedabad,3635,41622.41,317,1,0,0,9.2,8.11,2,0,0,3,1,0,1,7.11,0.1155
TXN0000008,CUST01239,4612.06,ATM,entertainment,16,3,48,Female,Ahmedabad,2270,27315.33,507,0,0,0,62.4,3.66,8,0,1,1,2,0,0,5.9213,0.0943
TXN0000009,CUST00331,567.23,NEFT,healthcare,6,6,19,Female,Mumbai,3340,39700.44,433,1,0,0,17.7,7.17,2,1,0,2,2,1,0,69.8668,0.028
TXN0000010,CUST01483,3548.1,ATM,dining,1,2,27,Male,Mumbai,882,36564.11,703,0,0,0,7.5,14.62,3,1,0,3,4,0,1,10.3024,0.0995
TXN0000011,CUST02136,6649.16,UPI,travel,5,6,38,Male,Mumbai,2019,40905.16,642,0,0,0,7.3,8.38,1,1,1,4,1,1,1,6.151,0.1157
TXN0000012,CUST02920,24188.52,Card,electronics,9,1,18,Male,Bangalore,2763,31168.42,813,0,0,0,37.5,6.06,4,0,1,3,2,0,0,1.2885,0.3206
TXN0000013,CUST00131,4959.75,UPI,grocery,8,0,63,Male,Hyderabad,2682,21863.97,452,0,0,1,20.5,0.33,2,0,0,4,1,0,0,4.4074,0.2863
TXN0000014,CUST01686,2312.5,UPI,travel,4,1,48,Female,Hyderabad,3204,20133.59,726,0,0,0,38.1,2.44,1,0,0,2,1,0,1,8.7027,0.0179
TXN0000015,CUST00770,1281.9,NEFT,entertainment,2,4,28,Female,Kolkata,1997,43164.93,456,1,0,1,20.6,22.06,1,1,1,4,1,0,1,33.6464,0.3432
TXN0000016,CUST02392,10311.16,ATM,travel,10,6,60,Male,Hyderabad,2100,23249.02,308,0,0,0,49.2,17.34,4,0,0,4,1,1,0,2.2545,0.0
TXN0000017,CUST01516,8425.26,IMPS,entertainment,9,2,27,Female,Mumbai,1279,34644.81,441,0,0,0,10.3,1.05,2,0,0,3,1,0,0,4.1115,0.0
